No,Product Type,Primary,On Primary,Secondary,On Secondary,Accent,On Accent,Background,Foreground,Card,Card Foreground,Muted,Muted Foreground,Border,Destructive,On Destructive,Ring,Keywords,Notes
16,Design System/Component Library,#475569,#FFFFFF,#64748B,#FFFFFF,#16A34A,#0F172A,#FAFAFA,#1E293B,#FFFFFF,#1E293B,#EAEFF3,#000000,#E2E8F0,#DC2626,#FFFFFF,#475569,component kit library system ui,"Neutral slate + doc hierarchy orange [High-risk replacement; AA text, component and focus contrast verified] | Scenario: design-system-component-library; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
18,NFT/Web3 Platform,#8655F6,#FFFFFF,#A78BFA,#0F172A,#0891B2,#0F172A,#0F0F23,#F8FAFC,#1E1D35,#F8FAFC,#31314A,#94A3B8,#5822AC,#EF4343,#000000,#8655F6,blockchain collectible crypto decentralized digital nft token web3,"Purple tech + gold value [High-risk replacement; AA text, component and focus contrast verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
19,Creator Economy Platform,#D71676,#FFFFFF,#F14BA2,#000000,#A855F7,#0F172A,#FDF2F8,#831843,#FFFFFF,#831843,#F1EEF5,#000000,#E5E5E5,#DC2626,#FFFFFF,#EC4899,content creative influencer media social,"Creator pink + engagement orange [Accent adjusted from #F97316 for WCAG 3:1] [High-risk replacement; AA text, component and focus contrast verified] | Scenario: creator-economy-platform; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
20,Remote Work/Collaboration Tool,#0B8177,#FFFFFF,#2E9E92,#000000,#DB2777,#FFFFFF,#FAFAFA,#134E4A,#FFFFFF,#134E4A,#E8F1F4,#000000,#E5E5E5,#DC2626,#FFFFFF,#0D9488,remote work collaboration team meeting virtual office productivity,"Collaborative teal + warm amber; bg neutralized [High-risk replacement; AA text, component and focus contrast verified] | Scenario: remote-work-collaboration-tool; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
21,Mental Health App,#166534,#FFFFFF,#2FA259,#000000,#059669,#0F172A,#FAFAFA,#14532D,#FFFFFF,#14532D,#E8F0F1,#000000,#BBF7D0,#DC2626,#FFFFFF,#166534,clinic healthcare hospital medical wellness,"Healing forest green + wellness emerald; bg neutralized [High-risk replacement; AA text, component and focus contrast verified] | Scenario: mental-health-app; Avoid: high-energy-gaming|flash-sale; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
22,Pet Tech App,#BF5104,#FFFFFF,#E66A05,#000000,#2563EB,#FFFFFF,#FFF7ED,#9A3412,#FFFFFF,#9A3412,#F1F0F0,#000000,#FED7AA,#DC2626,#FFFFFF,#EF6506,animal cat dog kitten puppy,"Playful orange + trust blue [High-risk replacement; AA text, component and focus contrast verified] | Scenario: pet-tech-app; Avoid: regulated-finance|clinical-emergency; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
23,Smart Home/IoT Dashboard,#516F9F,#FFFFFF,#566E8F,#FFFFFF,#06B6D4,#0F172A,#0F172A,#F8FAFC,#1B2336,#F8FAFC,#2E374D,#94A3B8,#475569,#EF4343,#000000,#516F9F,analytics automation connected data decoration device home house interior iot living metrics monitor overview residential sensor smart,"Dark tech + cyan status indicators [High-risk replacement; AA text, component and focus contrast verified] | Scenario: home-interior|hospitality|lifestyle; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
24,EV/Charging Ecosystem,#07819F,#FFFFFF,#34A1B2,#000000,#16A34A,#0F172A,#FFFFFF,#164E63,#FFFFFF,#164E63,#E8F1F6,#000000,#A5F3FC,#DC2626,#FFFFFF,#0891B2,electric vehicle charging station ev battery energy green,"Electric cyan + eco green [Accent adjusted from #22C55E for WCAG 3:1]; bg neutralized [High-risk replacement; AA text, component and focus contrast verified] | Scenario: ev-charging-ecosystem; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
25,Subscription Box Service,#C012DA,#FFFFFF,#E04AF7,#000000,#EA580C,#0F172A,#FDF4FF,#86198F,#FFFFFF,#86198F,#F0EEF9,#000000,#F5D0FE,#DC2626,#FFFFFF,#D946EF,box membership package recurring,"Excitement purple + urgency orange [Accent adjusted from #F97316 for WCAG 3:1] [High-risk replacement; AA text, component and focus contrast verified] | Scenario: subscription-box-service; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
26,Podcast Platform,#615AC4,#FFFFFF,#615DC5,#FFFFFF,#E11D48,#FFFFFF,#0F0F23,#F8FAFC,#1B1B30,#F8FAFC,#31314A,#94A3B8,#4338CA,#EF4343,#000000,#615AC4,audio episode listen show streaming,"Dark audio + warm accent [High-risk replacement; AA text, component and focus contrast verified] | Scenario: podcast-platform; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
27,Dating App,#DA1C46,#FFFFFF,#FA4C66,#000000,#7C3AED,#FFFFFF,#FFF1F2,#881337,#FFFFFF,#881337,#F0ECF2,#000000,#FECDD3,#DC2626,#FFFFFF,#E11D48,love match relationship romance social,"Romantic rose + warm orange [Accent adjusted from #F97316 for WCAG 3:1] [High-risk replacement; AA text, component and focus contrast verified] | Scenario: dating-app; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
28,Micro-Credentials/Badges Platform,#0369A1,#FFFFFF,#0D9DDD,#000000,#E11D48,#FFFFFF,#FFFFFF,#0C4A6E,#FFFFFF,#0C4A6E,#E7EFF5,#000000,#E5E5E5,#DC2626,#FFFFFF,#0369A1,credentials badges certification learning achievement digital certificate,"Trust blue + achievement gold [Accent adjusted from #CA8A04 for WCAG 3:1]; bg neutralized [High-risk replacement; AA text, component and focus contrast verified] | Scenario: education|learning|childcare; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
29,Knowledge Base/Documentation,#475569,#FFFFFF,#64748B,#FFFFFF,#0D9488,#0F172A,#FAF9F5,#1E293B,#FFFFFF,#1E293B,#F2F0EC,#000000,#E3E2DE,#DC2626,#FFFFFF,#475569,documentation faq guide reference wiki,"Neutral grey + link blue [High-risk replacement; AA text, component and focus contrast verified] | Scenario: knowledge-base-documentation; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
30,Beauty/Spa/Wellness Service,#D71676,#FFFFFF,#F24AA5,#000000,#7C3AED,#FFFFFF,#FDF2F8,#831843,#FFFFFF,#831843,#F1EEF5,#000000,#FBCFE8,#DC2626,#FFFFFF,#EC4899,beauty calm cosmetic health mindfulness relaxation salon selfcare skincare spa wellness,"Soft pink + lavender luxury [Accent darkened from #8B5CF6 for WCAG] [High-risk replacement; AA text, component and focus contrast verified] | Scenario: beauty-spa-wellness-service; Avoid: childcare|mass-market-discount|high-energy-gaming|flash-sale; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
31,Restaurant/Food Service,#DA2323,#FFFFFF,#F75555,#000000,#A16207,#FFFFFF,#FEF2F2,#450A0A,#FFFFFF,#450A0A,#F0EDF1,#000000,#FECACA,#DC2626,#FFFFFF,#DC2626,cafe cooking cuisine dining eat food meal recipe restaurant,"Appetizing red + warm gold [Accent adjusted from #CA8A04 for WCAG 3:1] [High-risk replacement; AA text, component and focus contrast verified] | Scenario: restaurant-food-service; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
32,Fitness/Gym App,#F97316,#0F172A,#FB923C,#0F172A,#22C55E,#0F172A,#1F2937,#F8FAFC,#313742,#F8FAFC,#3A4554,#FFFFFF,#4A576C,#EF4343,#000000,#F97316,active exercise fitness gym sport training workout,"Energy orange + success green [High-risk replacement; AA text, component and focus contrast verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
33,Real Estate/Property,#0F766E,#FFFFFF,#2E9E92,#000000,#0369A1,#FFFFFF,#FAFAFA,#134E4A,#FFFFFF,#134E4A,#E8F0F3,#000000,#99F6E4,#DC2626,#FFFFFF,#0F766E,apartment estate home housing property real,"Trust teal + professional blue; bg neutralized [High-risk replacement; AA text, component and focus contrast verified] | Scenario: home-interior|hospitality|lifestyle; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
34,Travel/Tourism Agency,#0A79AC,#FFFFFF,#2299CE,#000000,#EA580C,#0F172A,#F0F9FF,#0C4A6E,#FFFFFF,#0C4A6E,#E8F2F8,#000000,#BAE6FD,#DC2626,#FFFFFF,#2299CE,advertising creative destination journey marketing promotion studio tour tourism travel trip vacation,"Sky blue + adventure orange [Accent adjusted from #F97316 for WCAG 3:1] [High-risk replacement; AA text, component and focus contrast verified] | Scenario: travel-tourism-agency; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
35,Hotel/Hospitality,#1E3A8A,#FFFFFF,#3C83F6,#000000,#0891B2,#0F172A,#FFFEFB,#1E40AF,#FFFFFF,#1E40AF,#F2F0EC,#000000,#E3E2DE,#DC2626,#FFFFFF,#1E3A8A,accommodation hospitality lodge resort stay,"Luxury navy + gold service [Accent adjusted from #CA8A04 for WCAG 3:1] [High-risk replacement; AA text, component and focus contrast verified] | Scenario: hotel-hospitality; Avoid: childcare|mass-market-discount; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
36,Wedding/Event Planning,#D32371,#FFFFFF,#F14BA2,#000000,#B7850B,#000000,#FDF2F8,#831843,#FFFFFF,#831843,#F0EDF4,#000000,#FBCFE8,#DC2626,#FFFFFF,#DB2777,bridal celebration ceremony event marriage,"Romantic pink + elegant gold [Accent adjusted from #CA8A04 for WCAG 3:1] [High-risk replacement; AA text, component and focus contrast verified] | Scenario: wedding-event-planning; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
37,Legal Services,#1E3A8A,#FFFFFF,#1E40AF,#FFFFFF,#DB2777,#FFFFFF,#FAF9F5,#0F172A,#FFFFFF,#0F172A,#F2F0EC,#000000,#E3E2DE,#DC2626,#FFFFFF,#1E3A8A,attorney court justice law lawyer,"Authority navy + trust gold [High-risk replacement; AA text, component and focus contrast verified] | Scenario: legal-services; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
38,Insurance Platform,#0369A1,#FFFFFF,#0D9DDD,#000000,#1E40AF,#FFFFFF,#FFFFFF,#0C4A6E,#FFFFFF,#0C4A6E,#E7EFF5,#000000,#E5E5E5,#DC2626,#FFFFFF,#0369A1,claim coverage policy protection,"Security blue + trust amber; bg neutralized [High-risk replacement; AA text, component and focus contrast verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
39,Banking/Traditional Finance,#203159,#FFFFFF,#1E3A8A,#FFFFFF,#0D9488,#0F172A,#FAFAF9,#020617,#FFFFFF,#020617,#F2F0EC,#000000,#E3E2DE,#DC2626,#FFFFFF,#203159,bank banking finance financial fintech money,"Trust navy + premium gold [Accent adjusted from #CA8A04 for WCAG 3:1] [High-risk replacement; AA text, component and focus contrast verified] | Scenario: finance|banking|wealth-management; Avoid: childcare|mass-market-discount; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
40,Online Course/E-learning,#0B8177,#FFFFFF,#2E9E90,#000000,#1E3A5F,#FFFFFF,#FAFAFA,#134E4A,#FFFFFF,#134E4A,#E8F1F4,#000000,#5EEAD4,#DC2626,#FFFFFF,#0D9488,education educational learn school study teaching,"Progress teal + achievement orange [Accent adjusted from #F97316 for WCAG 3:1]; bg neutralized [High-risk replacement; AA text, component and focus contrast verified] | Scenario: education|learning|childcare; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
42,Music Streaming,#615AC4,#FFFFFF,#5F56D2,#FFFFFF,#0D9488,#0F172A,#0F0F23,#F8FAFC,#1B1B30,#F8FAFC,#31314A,#94A3B8,#3C389D,#EF4343,#000000,#615AC4,audio instrument melody rhythm song sound,"Dark purple + entertainment pink [High-risk replacement; AA text, component and focus contrast verified] | Scenario: music-streaming; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
43,Video Streaming/OTT,#5353B6,#FFFFFF,#564FC0,#FFFFFF,#E11D48,#FFFFFF,#000000,#F8FAFC,#0C0C0D,#F8FAFC,#2C2C2C,#94A3B8,#36338E,#EF4343,#000000,#5353B6,clip film movie recording streaming,"Cinema dark + play red [High-risk replacement; AA text, component and focus contrast verified] | Scenario: video-streaming-ott; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
44,Job Board/Recruitment,#0369A1,#FFFFFF,#0D9DDD,#000000,#EA580C,#0F172A,#FFFFFF,#0C4A6E,#FFFFFF,#0C4A6E,#E7EFF5,#000000,#BAE6FD,#DC2626,#FFFFFF,#0369A1,jobs hiring recruitment career employment talent hr,"Professional blue + opportunity orange; bg neutralized [High-risk replacement; AA text, component and focus contrast verified] | Scenario: job-board-recruitment; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
45,Marketplace (P2P),#B91C1C,#FFFFFF,#EF4343,#000000,#2563EB,#FFFFFF,#FEF2F2,#450A0A,#FFFFFF,#450A0A,#F0EDEE,#000000,#FECACA,#DC2626,#FFFFFF,#B91C1C,buy ecommerce retail sell shopping store,"Marketplace red + teal CTA [High-risk replacement; AA text, component and focus contrast verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
46,Logistics/Delivery,#2563EB,#FFFFFF,#3C83F6,#000000,#EA580C,#0F172A,#FFFFFF,#1E40AF,#FFFFFF,#1E40AF,#E9EFF8,#000000,#E5E5E5,#DC2626,#FFFFFF,#2563EB,chain courier delivery logistics shipping supply transport,"Tracking blue + delivery orange [Accent adjusted from #F97316 for WCAG 3:1]; bg neutralized [High-risk replacement; AA text, component and focus contrast verified] | Scenario: saas|developer-tools|ai-products; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
47,Agriculture/Farm Tech,#15803D,#FFFFFF,#2FA259,#000000,#A16207,#FFFFFF,#FAFAFA,#14532D,#FFFFFF,#14532D,#E8F0F1,#000000,#BBF7D0,#DC2626,#FFFFFF,#15803D,crop farm farming harvest plant,"Earth green + harvest gold [Accent adjusted from #CA8A04 for WCAG 3:1]; bg neutralized [High-risk replacement; AA text, component and focus contrast verified] | Scenario: agriculture-farm-tech; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
48,Construction/Architecture,#627188,#FFFFFF,#7B8EA7,#000000,#15803D,#FFFFFF,#F5F5F5,#334155,#FFFFFF,#334155,#EBEBEB,#000000,#E0E0E0,#DC2626,#FFFFFF,#64748B,architecture building construction design engineering interior project site,"Industrial grey + safety orange [Accent adjusted from #F97316 for WCAG 3:1] [High-risk replacement; AA text, component and focus contrast verified] | Scenario: home-interior|hospitality|lifestyle; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
49,Automotive/Car Dealership,#2D3E59,#FFFFFF,#334155,#FFFFFF,#DC2626,#FFFFFF,#FFFFFF,#0F172A,#FFFFFF,#0F172A,#E9EDF1,#000000,#E2E8F0,#DC3D28,#000000,#2D3E59,auto automotive car driving motor vehicle,"Premium dark + action red [High-risk replacement; AA text, component and focus contrast verified] | Scenario: automotive-car-dealership; Avoid: childcare|mass-market-discount; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
50,Photography Studio,#5C5C84,#FFFFFF,#606067,#FFFFFF,#F8FAFC,#0F172A,#000000,#FAFAFA,#0C0C0C,#FAFAFA,#2C2C2C,#94A3B8,#3F3F46,#EF4343,#000000,#5C5C84,camera capture image photo picture,"Pure black + white contrast [High-risk replacement; AA text, component and focus contrast verified] | Scenario: photography-studio; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
51,Coworking Space,#A16806,#FFFFFF,#AE8B32,#000000,#2563EB,#FFFFFF,#FFFBEB,#78350F,#FFFFFF,#78350F,#F1F2EF,#000000,#FDE68A,#DC2626,#FFFFFF,#BA8936,coworking shared workspace office community collaborative hotdesk,"Energetic amber + booking blue [High-risk replacement; AA text, component and focus contrast verified] | Scenario: coworking-space; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
53,Childcare/Daycare,#D81079,#FFFFFF,#F04CA9,#000000,#2563EB,#FFFFFF,#FDF2F8,#9D174D,#FFFFFF,#9D174D,#F1F0F6,#000000,#FCE7F3,#DC2626,#FFFFFF,#F14BA2,child children daycare kids nursery preschool toddler,"Playful pink + cheerful yellow [High-risk replacement; AA text, component and focus contrast verified] | Scenario: education|learning|childcare; Avoid: regulated-finance|clinical-emergency; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
54,Senior Care/Elderly,#0369A1,#FFFFFF,#3D9DC7,#000000,#C38504,#000000,#FFFFFF,#0C4A6E,#FFFFFF,#0C4A6E,#E7EFF5,#000000,#E0F2FE,#DC2626,#FFFFFF,#0369A1,aging care elderly retirement senior,"Calm blue + warm amber; bg neutralized [High-risk replacement; AA text, component and focus contrast verified] | Scenario: senior-care-elderly; Avoid: high-energy-gaming|flash-sale; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
55,Medical Clinic,#077E9B,#FFFFFF,#329EAE,#000000,#0D9488,#0F172A,#FAFAFA,#134E4A,#FFFFFF,#134E4A,#E8F1F6,#000000,#E5E5E5,#DC2626,#FFFFFF,#0891B2,clinic doctor health healthcare hospital wellness,"Medical teal + health green [Accent adjusted from #22C55E for WCAG 3:1]; bg neutralized [High-risk replacement; AA text, component and focus contrast verified] | Scenario: medical-clinic; Avoid: high-energy-gaming|flash-sale; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
56,Pharmacy/Drug Store,#15803D,#FFFFFF,#2FA259,#000000,#0369A1,#FFFFFF,#FAFAFA,#14532D,#FFFFFF,#14532D,#E8F0F1,#000000,#BBF7D0,#DC2626,#FFFFFF,#15803D,drug medication medicine prescription,"Pharmacy green + trust blue; bg neutralized [High-risk replacement; AA text, component and focus contrast verified] | Scenario: pharmacy-drug-store; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
57,Dental Practice,#0A7EB3,#FFFFFF,#3D9DC7,#000000,#A16207,#FFFFFF,#FFFFFF,#0C4A6E,#FFFFFF,#0C4A6E,#E8F2F8,#000000,#BAE6FD,#DC2626,#FFFFFF,#0D9DDD,clinic dentist oral teeth,"Fresh blue + smile yellow [Accent adjusted from #FBBF24 for WCAG 3:1]; bg neutralized [High-risk replacement; AA text, component and focus contrast verified] | Scenario: dental-practice; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
58,Veterinary Clinic,#0B8177,#FFFFFF,#2E9E92,#000000,#0891B2,#0F172A,#FAFAFA,#134E4A,#FFFFFF,#134E4A,#E8F1F4,#000000,#E5E5E5,#DC2626,#FFFFFF,#0D9488,animal clinic pet vet,"Caring teal + warm orange [Accent adjusted from #F97316 for WCAG 3:1]; bg neutralized [High-risk replacement; AA text, component and focus contrast verified] | Scenario: veterinary-clinic; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
59,Florist/Plant Shop,#15803D,#FFFFFF,#2FA259,#000000,#157F49,#FFFFFF,#F0FDF4,#14532D,#FFFFFF,#14532D,#E8F0F1,#000000,#BBF7D0,#DC2626,#FFFFFF,#15803D,bouquet floral flower garden green nature plant,"Natural green + floral pink [High-risk replacement; AA text, component and focus contrast verified] | Scenario: florist-plant-shop; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only."
60,Bakery/Cafe,#92400E,#FFFFFF,#B45309,#FFFFFF,#047857,#FFFFFF,#FAFAF9,#2A211C,#FFFFFF,#2A211C,#F2F0EC,#6B625A,#9F7A62,#DC2626,#FFFFFF,#92400E,bakery baking bread cafe cake coffee pastry restaurant,Warm bakery brown + sage accent; neutral stone background | Scenario: bakery-cafe; Avoid: —; Origin confidence: 0.5; Recommendation: scenario-first; Evidence: token-only.
